Total peptides: 254
Training set size: 215
Test set size: 39
Max index: 21, Vocab size: 22

-------Starting Training-------
_________________________________
Epoch [1/100], Loss: 1.2667899338098674, Accuracy: 0.41105765104293823
Epoch [2/100], Loss: 1.0065588744787068, Accuracy: 0.43669864535331726
Epoch [3/100], Loss: 0.9328503975501428, Accuracy: 0.4823717772960663
Epoch [4/100], Loss: 0.9050708734072171, Accuracy: 0.48557695746421814
Epoch [5/100], Loss: 0.8795457390638498, Accuracy: 0.5032051205635071
Epoch [6/100], Loss: 0.8727836265013769, Accuracy: 0.5112179517745972
Epoch [7/100], Loss: 0.8619598425351657, Accuracy: 0.5056089758872986
Epoch [8/100], Loss: 0.8410289218792548, Accuracy: 0.5072115659713745
Epoch [9/100], Loss: 0.8610762655735016, Accuracy: 0.4967948794364929
Epoch [10/100], Loss: 0.8395231847579663, Accuracy: 0.5224359035491943
Epoch [11/100], Loss: 0.8466830574549161, Accuracy: 0.5176281332969666
Epoch [12/100], Loss: 0.8402670048750364, Accuracy: 0.5184295177459717
Epoch [13/100], Loss: 0.8263778778222891, Accuracy: 0.5144230723381042
Epoch [14/100], Loss: 0.8182008060125204, Accuracy: 0.5456730127334595
Epoch [15/100], Loss: 0.8377417807395642, Accuracy: 0.5208333730697632
Epoch [16/100], Loss: 0.8379146685967078, Accuracy: 0.504807710647583
Epoch [17/100], Loss: 0.8355160332643069, Accuracy: 0.5232372283935547
Epoch [18/100], Loss: 0.8247963006679828, Accuracy: 0.5088141560554504
Epoch [19/100], Loss: 0.8333510435544528, Accuracy: 0.514423131942749
Epoch [20/100], Loss: 0.8201021827184237, Accuracy: 0.5424679517745972
Epoch [21/100], Loss: 0.8184013618872716, Accuracy: 0.5032050609588623
Epoch [22/100], Loss: 0.8208025258321029, Accuracy: 0.5304486751556396
Epoch [23/100], Loss: 0.8253175020217896, Accuracy: 0.5224359035491943
Epoch [24/100], Loss: 0.8244676131468552, Accuracy: 0.5280448198318481
Epoch [25/100], Loss: 0.8322848035739019, Accuracy: 0.5200320482254028
Epoch [26/100], Loss: 0.8320172681258275, Accuracy: 0.4919871985912323
Epoch [27/100], Loss: 0.8190980439002697, Accuracy: 0.5224357843399048
Epoch [28/100], Loss: 0.8571740939066961, Accuracy: 0.5112179517745972
Epoch [29/100], Loss: 0.8277705999521109, Accuracy: 0.5224359035491943
Epoch [30/100], Loss: 0.8208157901580517, Accuracy: 0.5208333730697632
Epoch [31/100], Loss: 0.8179987027094915, Accuracy: 0.5168269276618958
Epoch [32/100], Loss: 0.8134983800924741, Accuracy: 0.5288460850715637
Epoch [33/100], Loss: 0.8161314336153177, Accuracy: 0.5056089758872986
Epoch [34/100], Loss: 0.807786437181326, Accuracy: 0.5168269276618958
Epoch [35/100], Loss: 0.8117852256848261, Accuracy: 0.520833432674408
Epoch [36/100], Loss: 0.8111669719219208, Accuracy: 0.5224359631538391
Epoch [37/100], Loss: 0.8226059216719407, Accuracy: 0.5176282525062561
Epoch [38/100], Loss: 0.8140005583946521, Accuracy: 0.5176281929016113
Epoch [39/100], Loss: 0.8047508413975055, Accuracy: 0.5296474099159241
Epoch [40/100], Loss: 0.8054799643846658, Accuracy: 0.5168269276618958
Epoch [41/100], Loss: 0.8124375412097344, Accuracy: 0.5264424085617065
Epoch [42/100], Loss: 0.8152295167629535, Accuracy: 0.5256410837173462
Epoch [43/100], Loss: 0.8178124313171093, Accuracy: 0.5288461446762085
Epoch [44/100], Loss: 0.8128818342318902, Accuracy: 0.504807710647583
Epoch [45/100], Loss: 0.8143824407687554, Accuracy: 0.5072115659713745
Epoch [46/100], Loss: 0.8210951273257916, Accuracy: 0.514423131942749
Epoch [47/100], Loss: 0.812653851050597, Accuracy: 0.5208333730697632
Epoch [48/100], Loss: 0.826075398004972, Accuracy: 0.4967948794364929
Epoch [49/100], Loss: 0.8097238540649414, Accuracy: 0.5144230127334595
Epoch [50/100], Loss: 0.8168750451161311, Accuracy: 0.5200321078300476
Epoch [51/100], Loss: 0.8085309267044067, Accuracy: 0.5224359035491943
Epoch [52/100], Loss: 0.813912767630357, Accuracy: 0.5168269276618958
Epoch [53/100], Loss: 0.8069293682391827, Accuracy: 0.5208333134651184
Epoch [54/100], Loss: 0.8001948984769675, Accuracy: 0.5360576510429382
Epoch [55/100], Loss: 0.8191622908298786, Accuracy: 0.5288461446762085
Epoch [56/100], Loss: 0.8105114996433258, Accuracy: 0.5256410241127014
Epoch [57/100], Loss: 0.8102731429613553, Accuracy: 0.5080128312110901
Epoch [58/100], Loss: 0.8012160635911502, Accuracy: 0.5184295177459717
Epoch [59/100], Loss: 0.809629880464994, Accuracy: 0.5104166865348816
Epoch [60/100], Loss: 0.8088634358002589, Accuracy: 0.5144230723381042
Epoch [61/100], Loss: 0.8058801522621741, Accuracy: 0.5216346383094788
Epoch [62/100], Loss: 0.8133383186963888, Accuracy: 0.5176281929016113
Epoch [63/100], Loss: 0.8089457337672894, Accuracy: 0.5128204822540283
Epoch [64/100], Loss: 0.8037885817197653, Accuracy: 0.5104167461395264
Epoch [65/100], Loss: 0.8153249048269712, Accuracy: 0.5256410241127014
Epoch [66/100], Loss: 0.8100778231253991, Accuracy: 0.5184295177459717
Epoch [67/100], Loss: 0.8017042302168332, Accuracy: 0.5320512652397156
Epoch [68/100], Loss: 0.8123311629662147, Accuracy: 0.5176282525062561
Epoch [69/100], Loss: 0.804744514135214, Accuracy: 0.5024037957191467
Epoch [70/100], Loss: 0.8031561420514033, Accuracy: 0.5368589758872986
Epoch [71/100], Loss: 0.80810458614276, Accuracy: 0.5376602411270142
Epoch [72/100], Loss: 0.8067321181297302, Accuracy: 0.5200320482254028
Epoch [73/100], Loss: 0.816738254748858, Accuracy: 0.5016025304794312
Epoch [74/100], Loss: 0.8143948591672457, Accuracy: 0.5216346383094788
Epoch [75/100], Loss: 0.8116510923092182, Accuracy: 0.5352564454078674
Epoch [76/100], Loss: 0.80388032243802, Accuracy: 0.5176281929016113
Epoch [77/100], Loss: 0.8089818541820233, Accuracy: 0.5272436141967773
Epoch [78/100], Loss: 0.8013834471885974, Accuracy: 0.5232372283935547
Epoch [79/100], Loss: 0.8093995818724999, Accuracy: 0.5296474695205688
Epoch [80/100], Loss: 0.7979649007320404, Accuracy: 0.5296474695205688
Epoch [81/100], Loss: 0.8072300255298615, Accuracy: 0.5272435545921326
Epoch [82/100], Loss: 0.7999754914870629, Accuracy: 0.5536859035491943
Epoch [83/100], Loss: 0.8055877525072831, Accuracy: 0.5136217474937439
Epoch [84/100], Loss: 0.8069030000613286, Accuracy: 0.521634578704834
Epoch [85/100], Loss: 0.8102751351319827, Accuracy: 0.5016025304794312
Epoch [86/100], Loss: 0.8071325833980854, Accuracy: 0.504807710647583
